Chemical_Name,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Trans-carveol,CC(=C)C1CC=C(C(C1)O)C,C10H16O,152.23,11,0,0.6,1,1,1,48.28,20.23,2.5,3.12,2.28,2.2,2.05,2.43,-2.68,0.316,0.00207,Soluble,-3.21,0.0931,0.000611,Soluble,-1.47,5.21,0.0342,Soluble,High,Yes,No,No,No,No,No,No,-5.01,0,1,0,0,2,0.55,0,1,1,3.61
Trans-para-menth-2-en-1-ol,CC(C1CCC(C=C1)(C)O)C,C10H18O,154.25,11,0,0.8,1,1,1,48.8,20.23,2.5,2.29,2.36,2.3,2.04,2.3,-2.17,1.04,0.00671,Soluble,-2.35,0.685,0.00444,Soluble,-1.46,5.4,0.035,Soluble,High,Yes,No,No,No,No,No,No,-5.62,0,1,0,0,2,0.55,0,1,1,3.51
Trans-pinocarveol,C=C1C(O)CC2CC1C2(C)C,C10H16O,152.23,11,0,0.8,0,1,1,46.38,20.23,2.12,1.79,1.97,2.3,2.15,2.07,-1.91,1.87,0.0123,Very soluble,-1.83,2.23,0.0147,Very soluble,-1.69,3.14,0.0207,Soluble,High,Yes,No,No,No,No,No,No,-5.96,0,1,0,0,2,0.55,0,1,1,3.7
Trans-piperitol,CC1=CC(C(CC1)C(C)C)O,C10H18O,154.25,11,0,0.8,1,1,1,48.76,20.23,2.57,2.13,2.36,2.3,2.04,2.28,-2.07,1.31,0.00847,Soluble,-2.19,1.0,0.00651,Soluble,-1.46,5.4,0.035,Soluble,High,Yes,No,No,No,No,No,No,-5.73,0,1,0,0,2,0.55,0,1,1,3.52
Tricyclene,CC12C3C1CC(C2(C)C)C3,C10H16,136.23,10,0,1.0,0,0,0,43.32,0.0,2.53,3.24,2.69,4.43,2.79,3.14,-2.73,0.256,0.00188,Soluble,-2.91,0.166,0.00122,Soluble,-2.23,0.806,0.00592,Soluble,Low,Yes,No,No,No,No,No,No,-4.83,1,1,0,0,2,0.55,0,0,1,3.59
Yomogi alcohol,C=CC(C=CC(O)(C)C)(C)C,C10H18O,154.25,11,0,0.6,3,1,1,50.18,20.23,2.54,2.59,2.53,2.59,2.18,2.48,-2.23,0.908,0.00589,Soluble,-2.66,0.335,0.00217,Soluble,-1.47,5.21,0.0338,Soluble,High,Yes,No,No,No,No,No,No,-5.4,0,1,0,0,2,0.55,0,1,1,2.88
Arbusculin-A,C=C1C(=O)OC2C1CCC1(C2C(C)(O)CCC1)C,C15H22O3,250.33,18,0,0.8,0,3,1,69.63,46.53,2.55,2.79,2.44,2.56,2.75,2.62,-3.15,0.177,0.000708,Soluble,-3.42,0.0944,0.000377,Soluble,-2.71,0.485,0.00194,Soluble,High,Yes,No,No,No,No,No,No,-5.85,0,0,0,0,0,0.55,0,1,0,4.04
Arbusculin-B,CC1=C2C3OC(=O)C(=C)C3CCC2(CCC1)C,C15H20O2,232.32,17,0,0.67,0,2,0,67.95,26.3,2.67,3.09,3.38,3.35,3.65,3.23,-3.23,0.138,0.000593,Soluble,-3.31,0.114,0.00049,Soluble,-3.5,0.0731,0.000315,Soluble,High,Yes,No,No,Yes,Yes,No,No,-5.52,0,0,0,0,0,0.55,0,2,1,4.13
Arbusculin-C,O=C1OC2C(C1=C)CCC1(C2(O)C(=C)CCC1)C,C15H20O3,248.32,18,0,0.67,0,3,1,69.15,46.53,2.27,2.12,2.36,2.47,3.02,2.45,-2.72,0.478,0.00193,Soluble,-2.73,0.464,0.00187,Soluble,-2.94,0.283,0.00114,Soluble,High,Yes,No,No,No,No,No,No,-6.31,0,0,0,0,0,0.55,0,2,1,4.01
Arbusculin D,OCC1=C2CCC3(C(C2OC1=O)C(C)(O)CCC3)C,C15H22O4,266.33,19,0,0.8,1,4,2,70.79,66.76,1.9,1.56,1.55,1.71,2.23,1.79,-2.41,1.04,0.00391,Soluble,-2.57,0.714,0.00268,Soluble,-2.35,1.18,0.00443,Soluble,High,Yes,Yes,No,No,No,No,No,-6.82,0,0,0,0,0,0.55,0,0,0,4.44
Arbusculin-E,C=C(C1CCC2(C(C1O)C(C)(O)CCC2)C)C(=O)O,C15H24O4,268.35,19,0,0.8,2,4,3,73.39,77.76,1.61,2.0,1.96,1.71,1.67,1.79,-2.63,0.627,0.00233,Soluble,-3.26,0.148,0.00055,Soluble,-1.39,11.0,0.0409,Soluble,High,No,No,No,No,No,No,No,-6.52,0,0,0,0,0,0.56,0,1,0,4.1
Colartin,CC1C(=O)OC2C1CCC1(C2C(C)(O)CCC1)C,C15H24O3,252.35,18,0,0.93,0,3,1,70.1,46.53,2.55,2.9,2.52,2.67,2.47,2.62,-3.23,0.148,0.000587,Soluble,-3.54,0.0732,0.00029,Soluble,-2.48,0.83,0.00329,Soluble,High,Yes,No,No,No,No,No,No,-5.78,0,0,0,0,0,0.55,0,0,0,3.91
Ridentin B,OC1CC(O)C2(C(C1=C)C1OC(=O)C(=C)C1CC2)C,C15H20O4,264.32,19,0,0.67,0,4,2,70.28,66.76,1.96,0.93,1.18,1.62,1.72,1.48,-2.06,2.28,0.00862,Soluble,-1.92,3.19,0.0121,Very soluble,-1.69,5.46,0.0207,Soluble,High,Yes,Yes,No,No,No,No,No,-7.25,0,0,0,0,0,0.55,0,2,0,4.3
Rothin-A,OC1CC2(C)CCCC(=C2C2C1C(=C)C(=O)O2)C,C15H20O3,248.32,18,0,0.67,0,3,1,69.12,46.53,2.71,1.93,2.36,2.47,2.73,2.44,-2.6,0.63,0.00254,Soluble,-2.53,0.731,0.00294,Soluble,-2.69,0.501,0.00202,Soluble,High,Yes,No,No,No,No,No,No,-6.44,0,0,0,0,0,0.55,0,2,1,4.46
Rothin-B,OC1CC2(C)CCCC(=C)C2(C2C1C(=C)C(=O)O2)O,C15H20O4,264.32,19,0,0.67,0,4,2,70.32,66.76,1.88,1.15,1.33,1.62,2.11,1.62,-2.2,1.66,0.00626,Soluble,-2.15,1.89,0.00714,Soluble,-2.13,1.94,0.00733,Soluble,High,Yes,Yes,No,No,No,No,No,-7.1,0,0,0,0,0,0.55,0,2,0,4.35
Artevasin,C=C1CCC(O)C(=CC2C(C(C1)O)C(=C)C(=O)O2)C,C15H20O4,264.32,19,0,0.53,0,4,2,72.18,66.76,1.95,0.8,1.49,1.53,1.72,1.5,-1.98,2.75,0.0104,Very soluble,-1.78,4.35,0.0165,Very soluble,-1.69,5.46,0.0207,Soluble,High,Yes,No,No,No,No,No,No,-7.34,0,0,0,0,0,0.55,0,2,0,4.93
Novanin,CC(=O)OC1CC=C(C)CCC2C(C=C1C)OC(=O)C2=C,C17H22O4,290.35,21,0,0.53,2,4,0,80.75,52.6,2.49,1.55,3.09,2.75,2.77,2.53,-2.48,0.951,0.00328,Soluble,-2.26,1.58,0.00544,Soluble,-2.88,0.378,0.0013,Soluble,High,Yes,No,No,No,No,No,No,-6.97,0,0,0,0,0,0.55,0,3,0,4.83
Badgerin,OC1C2C(CC(=C)C3OC1C(C)(O)CC3)OC(=O)C2=C,C15H20O5,280.32,20,0,0.67,0,5,2,71.66,75.99,2.02,0.3,0.7,0.79,1.34,1.03,-1.77,4.79,0.0171,Very soluble,-1.46,9.76,0.0348,Very soluble,-1.42,10.7,0.038,Soluble,High,No,Yes,No,No,No,No,No,-7.8,0,0,0,0,0,0.55,0,2,0,5.18
Deacetyllaurenobiolide,CC1=CCCC(=CC(C2C(C1)OC(=O)C2=C)O)C,C15H20O3,248.32,18,0,0.53,0,3,1,71.02,46.53,1.61,1.86,2.52,2.38,2.34,2.14,-2.55,0.698,0.00281,Soluble,-2.46,0.864,0.00348,Soluble,-2.25,1.41,0.00568,Soluble,High,Yes,No,No,No,No,No,No,-6.49,0,0,0,0,0,0.55,0,2,1,4.6
Spiciformin,CC1=CCCC2(C)OC2C(C2C(C1)OC(=O)C2=C)O,C15H20O4,264.32,19,0,0.67,0,4,1,70.5,59.06,2.06,0.36,1.73,1.62,2.21,1.6,-1.71,5.21,0.0197,Very soluble,-1.17,18.1,0.0684,Very soluble,-1.98,2.75,0.0104,Soluble,High,Yes,No,No,No,No,No,No,-7.66,0,0,0,0,0,0.55,0,3,0,4.85
Tatridin-A,CC1=CC(O)C2C(C=C(C(CC1)O)C)OC(=O)C2=C,C15H20O4,264.32,19,0,0.53,0,4,2,72.18,66.76,2.16,0.61,1.49,1.53,1.43,1.44,-1.86,3.62,0.0137,Very soluble,-1.59,6.85,0.0259,Very soluble,-1.44,9.66,0.0366,Soluble,High,Yes,No,No,No,No,No,No,-7.48,0,0,0,0,0,0.55,0,2,0,4.92
Tatridin-B,CC1=CC(O)C2C(CC(=C)C(CC1)O)OC(=O)C2=C,C15H20O4,264.32,19,0,0.53,0,4,2,72.18,66.76,1.93,0.8,1.49,1.53,1.72,1.49,-1.98,2.75,0.0104,Very soluble,-1.78,4.35,0.0165,Very soluble,-1.69,5.46,0.0207,Soluble,High,Yes,No,No,No,No,No,No,-7.34,0,0,0,0,0,0.55,0,2,0,4.78
Arbiglovin,CC1=CC(=O)C2C1C1OC(=O)C(=C)C1CCC2C,C15H18O3,246.3,18,0,0.6,0,3,0,68.41,43.37,2.33,2.13,2.28,2.38,2.53,2.33,-2.71,0.481,0.00195,Soluble,-2.67,0.524,0.00213,Soluble,-2.49,0.797,0.00324,Soluble,High,Yes,No,No,No,No,No,No,-6.29,0,0,0,0,0,0.55,0,1,1,4.34
Artecanin,C=C1C(=O)OC2C1CCC(C13C2C2(C)OC2C3O1)(C)O,C15H18O5,278.3,20,0,0.8,0,5,1,67.91,71.59,1.99,0.21,0.55,0.88,2.06,1.14,-1.7,5.58,0.0201,Very soluble,-1.27,14.9,0.0534,Very soluble,-1.7,5.54,0.0199,Soluble,High,No,Yes,No,No,No,No,No,-7.85,0,0,0,0,0,0.55,0,2,0,4.97
Canin,C=C1C(=O)OC2C1CCC(C13C2C2(C)OC2C3O1)(C)O,C15H18O5,278.3,20,0,0.8,0,5,1,67.91,71.59,1.99,0.21,0.55,0.88,2.06,1.14,-1.7,5.58,0.0201,Very soluble,-1.27,14.9,0.0534,Very soluble,-1.7,5.54,0.0199,Soluble,High,No,Yes,No,No,No,No,No,-7.85,0,0,0,0,0,0.55,0,2,0,4.97
Cumambrin A,CC(=O)OC1CC(C)(O)C2C(C3C1C(=C)C(=O)O3)C(=CC2)C,C17H22O5,306.35,22,0,0.65,2,5,1,80.31,72.83,2.73,1.38,1.75,2.0,1.88,1.95,-2.48,1.02,0.00334,Soluble,-2.51,0.941,0.00307,Soluble,-2.07,2.6,0.00847,Soluble,High,Yes,No,No,No,No,No,No,-7.19,0,0,0,0,0,0.55,0,3,0,4.78
Cumambrin B,CC1=CCC2C1C1OC(=O)C(=C)C1C(CC2(C)O)O,C15H20O4,264.32,19,0,0.67,0,4,2,70.58,66.76,2.15,0.81,1.18,1.62,1.43,1.44,-1.99,2.71,0.0103,Very soluble,-1.79,4.25,0.0161,Very soluble,-1.44,9.66,0.0366,Soluble,High,Yes,No,No,No,No,No,No,-7.34,0,0,0,0,0,0.55,0,2,0,4.63
Matricarin,CC(=O)OC1CC(=C2C(C3C1C(C)C(=O)O3)C(=CC2=O)C)C,C17H20O5,304.34,22,0,0.59,2,5,0,79.31,69.67,2.21,1.22,1.96,1.92,2.19,1.9,-2.36,1.32,0.00433,Soluble,-2.28,1.6,0.00524,Soluble,-2.52,0.921,0.00303,Soluble,High,Yes,No,No,No,No,No,No,-7.29,0,0,0,0,0,0.55,0,1,0,4.74
Deacetylmatricarin,OC1CC(=C2C(C3C1C(C)C(=O)O3)C(=CC2=O)C)C,C15H18O4,262.3,19,0,0.6,0,4,1,69.58,63.6,2.03,0.64,1.39,1.53,1.74,1.47,-1.87,3.54,0.0135,Very soluble,-1.55,7.38,0.0281,Very soluble,-1.88,3.43,0.0131,Soluble,High,Yes,No,No,No,No,No,No,-7.45,0,0,0,0,0,0.55,0,0,0,4.6
Rupicolin A,OC1C=C(C)C2(C(C3C1C(=C)C(=O)O3)C(=CC2)C)O,C15H18O4,262.3,19,0,0.53,0,4,2,70.1,66.76,2.22,0.14,1.1,1.53,1.42,1.28,-1.55,7.32,0.0279,Very soluble,-1.1,20.9,0.0797,Very soluble,-1.42,10.0,0.0381,Soluble,High,No,No,No,No,No,No,No,-7.8,0,0,0,0,0,0.55,0,2,0,4.67
Rupicolin B,OC1CC(=C)C2(C(C3C1C(=C)C(=O)O3)C(=CC2)C)O,C15H18O4,262.3,19,0,0.53,0,4,2,70.1,66.76,2.47,0.33,1.1,1.53,1.71,1.43,-1.67,5.55,0.0212,Very soluble,-1.3,13.3,0.0506,Very soluble,-1.67,5.65,0.0215,Soluble,High,No,No,No,No,No,No,No,-7.67,0,0,0,0,0,0.55,0,2,0,4.5
Rupin A,OC1CC(C)(O)C23C(C4C1C(=C)C(=O)O4)C1(C(C3O2)O1)C,C15H18O6,294.3,21,0,0.8,0,6,2,69.07,91.82,1.9,-0.76,-0.48,0.07,1.16,0.38,-1.19,19.2,0.0652,Very soluble,-0.69,60.0,0.204,Very soluble,-0.89,38.0,0.129,Soluble,High,No,Yes,No,No,No,No,No,-8.63,0,1,0,0,0,0.55,0,2,0,5.08
Rupin B,CC(=O)OC1CC(C)(O)C23C(C4C1C(=C)C(=O)O4)C1(C(C3O2)O1)C,C17H20O7,336.34,24,0,0.76,2,7,1,78.8,97.89,1.98,-0.19,0.1,0.48,1.61,0.79,-1.67,7.13,0.0212,Very soluble,-1.41,13.1,0.0389,Very soluble,-1.52,10.2,0.0303,Soluble,High,No,Yes,No,No,No,No,No,-8.49,0,0,0,0,0,0.55,0,3,0,5.3
Viscidulin-A,CC(=O)OC1CC2(CO2)C2C(C3C1C(C)C(=O)O3)C(=CC2)C,C17H22O5,306.35,22,0,0.76,2,5,0,78.6,65.13,2.74,1.43,1.85,2.09,2.12,2.05,-2.51,0.95,0.0031,Soluble,-2.4,1.21,0.00396,Soluble,-2.04,2.77,0.00906,Soluble,High,Yes,No,No,No,No,No,No,-7.15,0,0,0,0,0,0.55,0,3,0,5.3
Viscidulin-B,CC(=O)OC1CC(=C)C2C(C3C1C(C)C(=O)O3)C1(C(C2)O1)C,C17H22O5,306.35,22,0,0.76,2,5,0,78.6,65.13,2.44,1.56,1.85,2.09,2.25,2.04,-2.59,0.787,0.00257,Soluble,-2.54,0.888,0.0029,Soluble,-2.17,2.08,0.00679,Soluble,High,Yes,No,No,No,No,No,No,-7.06,0,0,0,0,0,0.55,0,3,0,4.67
Viscidulin-C,OC1CC(=C)C2C(C3C1C(C)C(=O)O3)C1(C(C2)O1)C,C15H20O4,264.32,19,0,0.8,0,4,1,68.86,59.06,2.31,0.99,1.28,1.71,1.81,1.62,-2.1,2.09,0.0079,Soluble,-1.82,4.01,0.0152,Very soluble,-1.53,7.75,0.0293,Soluble,High,Yes,Yes,No,No,No,No,No,-7.21,0,0,0,0,0,0.55,0,2,0,4.36
Pygmol,OC1C(CCC2(C1C(C)(O)CCC2)C)C(O)(C)C,C15H28O3,256.38,18,0,1.0,1,3,3,73.29,60.69,2.31,2.53,2.09,2.0,1.96,2.18,-2.96,0.283,0.0011,Soluble,-3.45,0.0907,0.000354,Soluble,-1.82,3.89,0.0152,Soluble,High,Yes,No,No,No,No,No,No,-6.07,0,0,0,0,0,0.55,0,0,0,3.91
Desacetoxymatricarin,CC1C(=O)OC2C1CCC(=C1C2C(=CC1=O)C)C,C15H18O3,246.3,18,0,0.6,0,3,0,68.41,43.37,2.33,1.62,2.42,2.38,2.64,2.28,-2.39,1.01,0.0041,Soluble,-2.14,1.77,0.00719,Soluble,-2.69,0.501,0.00203,Soluble,High,Yes,No,No,No,No,No,No,-6.65,0,0,0,0,0,0.55,0,0,1,4.35
Ridentin,OC1CC(O)C(=C)CCC2C(C=C1C)OC(=O)C2=C,C15H20O4,264.32,19,0,0.53,0,4,2,72.18,66.76,2.04,-0.08,1.49,1.53,1.72,1.34,-1.43,9.86,0.0373,Very soluble,-0.87,35.6,0.135,Very soluble,-1.69,5.46,0.0207,Soluble,High,Yes,No,No,No,No,No,No,-7.97,0,0,0,0,0,0.55,0,2,0,4.85
Achillin,CC1C(=O)OC2C1CCC(=C1C2C(=CC1=O)C)C,C15H18O3,246.3,18,0,0.6,0,3,0,68.41,43.37,2.33,1.62,2.42,2.38,2.64,2.28,-2.39,1.01,0.0041,Soluble,-2.14,1.77,0.00719,Soluble,-2.69,0.501,0.00203,Soluble,High,Yes,No,No,No,No,No,No,-6.65,0,0,0,0,0,0.55,0,0,1,4.35
Alpha-bulnesene,CC(=C)C1CCC(=C2C(C1)C(C)CC2)C,C15H24,204.35,15,0,0.73,1,0,0,69.04,0.0,3.42,4.61,4.73,4.63,4.14,4.31,-3.95,0.0232,0.000113,Soluble,-4.33,0.00945,4.62e-05,Moderately soluble,-3.55,0.0579,0.000283,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.27,1,0,0,0,1,0.55,0,1,2,4.32
Alpha-copaene,CC(C1CCC2(C3C1C2C(=CC3)C)C)C,C15H24,204.35,15,0,0.87,1,0,0,67.14,0.0,3.4,4.47,4.27,5.65,3.73,4.3,-3.86,0.0284,0.000139,Soluble,-4.19,0.0132,6.46e-05,Moderately soluble,-3.07,0.174,0.000851,Soluble,Low,Yes,No,Yes,Yes,Yes,No,No,-4.37,1,0,0,0,1,0.55,0,1,2,4.62
Alpha-himachalene,CC1=CC2C(CC1)C(=C)CCCC2(C)C,C15H24,204.35,15,0,0.73,0,0,0,68.78,0.0,3.24,4.46,4.73,4.63,4.19,4.25,-3.92,0.0248,0.000121,Soluble,-4.18,0.0135,6.62e-05,Moderately soluble,-3.77,0.0349,0.000171,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.38,1,0,0,0,1,0.55,0,1,2,4.15
Alpha-humulene,CC1=CCC(C)(C)C=CCC(=CCC1)C,C15H24,204.35,15,0,0.6,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,3.91,4.26,-3.97,0.0217,0.000106,Soluble,-4.27,0.0109,5.34e-05,Moderately soluble,-3.52,0.0619,0.000303,Soluble,Low,No,No,No,No,Yes,No,No,-4.32,1,0,0,0,1,0.55,0,1,2,3.66
Alpha-ionone,CC(=O)C=CC1C(=CCCC1(C)C)C,C13H20O,192.3,14,0,0.62,2,1,0,61.48,17.07,2.81,3.85,3.51,2.94,3.41,3.31,-3.33,0.0908,0.000472,Soluble,-3.9,0.0239,0.000125,Soluble,-2.65,0.433,0.00225,Soluble,High,Yes,No,No,No,Yes,No,No,-4.74,0,0,0,0,2,0.55,0,2,2,3.53
Alpha-longipinene,CC1=CCC2C3C1C2(C)CCCC3(C)C,C15H24,204.35,15,0,0.87,0,0,0,66.88,0.0,3.25,4.62,4.42,5.65,3.91,4.37,-4.02,0.0196,9.6e-05,Moderately soluble,-4.35,0.00923,4.51e-05,Moderately soluble,-3.52,0.0619,0.000303,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.27,1,0,0,0,1,0.55,0,1,2,4.48
Artecalin,O=C1CC(O)C2(C(C1C)C1OC(=O)C(=C)C1CC2)C,C15H20O4,264.32,19,0,0.73,0,4,1,69.79,63.6,1.88,1.41,1.47,1.62,2.03,1.68,-2.37,1.14,0.00429,Soluble,-2.35,1.18,0.00447,Soluble,-2.15,1.88,0.0071,Soluble,High,Yes,No,No,No,No,No,No,-6.91,0,0,0,0,0,0.55,0,1,0,4.15
Artemisin,OC1CC2(C)C=CC(=O)C(=C2C2C1C(C)C(=O)O2)C,C15H18O4,262.3,19,0,0.6,0,4,1,69.32,63.6,1.86,1.14,1.39,1.53,1.74,1.53,-2.18,1.72,0.00654,Soluble,-2.07,2.23,0.00852,Soluble,-1.88,3.43,0.0131,Soluble,High,Yes,No,No,No,No,No,No,-7.09,0,0,0,0,0,0.55,0,0,0,4.54
Beta-caryophyllene,CC1=CCCC(=C)C2C(CC1)C(C2)(C)C,C15H24,204.35,15,0,0.73,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.19,4.24,-3.87,0.0278,0.000136,Soluble,-4.1,0.0164,8.01e-05,Moderately soluble,-3.77,0.0349,0.000171,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.44,1,0,0,0,1,0.55,0,1,2,4.51
Beta-chamigrene,CC1=CCC2(CC1)C(=C)CCCC2(C)C,C15H24,204.35,15,0,0.73,0,0,0,68.52,0.0,3.2,4.67,4.87,4.63,4.59,4.39,-4.05,0.0183,8.93e-05,Moderately soluble,-4.4,0.00819,4.01e-05,Moderately soluble,-4.22,0.0124,6.07e-05,Moderately soluble,Low,No,No,No,No,Yes,No,No,-4.23,1,0,0,0,1,0.55,0,1,2,4.35
Beta-copaen-4-alpha-ol,C=C1CCC2C(C1)C(O)(C(C)C)C1C2(C)C1,C15H24O,220.35,16,0,0.87,1,1,1,68.34,20.23,3.18,3.39,3.39,3.67,3.49,3.42,-3.28,0.117,0.00053,Soluble,-3.49,0.0707,0.000321,Soluble,-2.96,0.239,0.00109,Soluble,High,Yes,No,No,Yes,Yes,No,No,-5.24,0,0,0,0,1,0.55,0,1,1,3.69
Beta-elemene,C=CC1(C)CCC(CC1C(=C)C)C(=C)C,C15H24,204.35,15,0,0.6,3,0,0,70.42,0.0,3.37,6.11,4.75,4.53,4.5,4.65,-4.76,0.00357,1.74e-05,Moderately soluble,-5.89,0.000262,1.28e-06,Moderately soluble,-3.58,0.0536,0.000262,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.21,1,0,0,0,2,0.55,0,1,2,3.63
Beta-gurjunene,CC1CCC2C(C3C1CCC3=C)C2(C)C,C15H24,204.35,15,0,0.87,0,0,0,67.14,0.0,3.24,4.71,4.27,5.65,3.8,4.33,-4.07,0.0172,8.43e-05,Moderately soluble,-4.44,0.00744,3.64e-05,Moderately soluble,-3.32,0.0983,0.000481,Soluble,Low,Yes,No,Yes,Yes,Yes,No,No,-4.2,1,0,0,0,1,0.55,0,1,2,3.7
Beta-himachalene,CC1=CC2C(=C(C)CCCC2(C)C)CC1,C15H24,204.35,15,0,0.73,0,0,0,68.78,0.0,3.26,3.94,4.87,4.63,4.3,4.2,-3.59,0.0526,0.000258,Soluble,-3.64,0.0468,0.000229,Soluble,-3.97,0.0219,0.000107,Soluble,Low,No,No,No,No,Yes,No,No,-4.75,1,0,0,0,1,0.55,0,1,2,4.08
Beta-selinene,C=C1CCCC2(C1CC(CC2)C(=C)C)C,C15H24,204.35,15,0,0.73,1,0,0,68.78,0.0,3.28,5.44,4.73,4.63,4.43,4.5,-4.47,0.00695,3.4e-05,Moderately soluble,-5.2,0.0013,6.36e-06,Moderately soluble,-3.8,0.0327,0.00016,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.68,1,0,0,0,2,0.55,0,1,2,3.42
Bicyclogermacrene,CC1=CCCC(=CC2C(CC1)C2(C)C)C,C15H24,204.35,15,0,0.73,0,0,0,68.78,0.0,3.34,4.14,4.73,4.63,3.91,4.15,-3.72,0.0394,0.000193,Soluble,-3.85,0.029,0.000142,Soluble,-3.52,0.0619,0.000303,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.61,1,0,0,0,1,0.55,0,1,2,4.34
Cryptomeridiol,CC(C1CCC2(C(C1)C(C)(O)CCC2)C)(O)C,C15H28O2,240.38,17,0,1.0,1,2,2,72.13,40.46,2.88,2.95,3.11,2.88,2.85,2.94,-3.12,0.181,0.000754,Soluble,-3.46,0.083,0.000345,Soluble,-2.63,0.567,0.00236,Soluble,High,Yes,No,No,No,No,No,No,-5.67,0,0,0,0,0,0.55,0,0,1,3.55
Cyclosativene,CC(C1CCC2(C3C1C1C(C21C)C3)C)C,C15H24,204.35,15,0,1.0,1,0,0,65.24,0.0,3.24,4.87,3.96,5.8,3.73,4.32,-4.11,0.0159,7.78e-05,Moderately soluble,-4.6,0.00508,2.48e-05,Moderately soluble,-3.07,0.174,0.000851,Soluble,Low,Yes,No,Yes,Yes,Yes,No,No,-4.09,1,0,0,0,1,0.55,0,0,2,3.94
Dehydroleucodin,CC1=CC(=O)C2=C(C)CCC3C(C12)OC(=O)C3=C,C15H16O3,244.29,18,0,0.47,0,3,0,67.94,43.37,2.29,1.51,2.34,2.29,2.91,2.27,-2.31,1.21,0.00494,Soluble,-2.03,2.29,0.00936,Soluble,-2.92,0.292,0.0012,Soluble,High,Yes,No,No,No,No,No,No,-6.72,0,0,0,0,0,0.55,0,1,1,4.14
Dehydromatricarin,CC(=O)OC1CC(=C2C(C3C1C(=C)C(=O)O3)C(=CC2=O)C)C,C17H18O5,302.32,22,0,0.47,2,5,0,78.84,69.67,2.15,1.11,1.88,1.83,2.46,1.89,-2.28,1.58,0.00523,Soluble,-2.17,2.06,0.00682,Soluble,-2.75,0.538,0.00178,Soluble,High,Yes,No,No,No,No,No,No,-7.36,0,0,0,0,0,0.55,0,2,0,4.55
Dentatin-A,C=C1CCC(C2(C1C1OC(=O)C(=C)C1C(C2)O)C)O,C15H20O4,264.32,19,0,0.67,0,4,2,70.28,66.76,2.03,1.07,1.18,1.62,1.72,1.52,-2.15,1.86,0.00703,Soluble,-2.06,2.28,0.00864,Soluble,-1.69,5.46,0.0207,Soluble,High,Yes,Yes,No,No,No,No,No,-7.15,0,0,0,0,0,0.55,0,2,0,4.36
Epoxyfarnochrol,COc1cc2ccc(=O)oc2c(c1OCC=C(CCC=C(CCC1OC1(C)C)C)C)OC,C26H34O6,442.54,32,10,0.5,11,6,0,127.32,70.43,5.04,5.74,5.82,3.06,6.9,5.31,-5.71,0.000872,1.97e-06,Moderately soluble,-6.99,4.56e-05,1.03e-07,Poorly soluble,-7.29,2.26e-05,5.11e-08,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-4.92,0,1,1,0,1,0.55,0,3,3,4.96
Farnochrol,COc1cc2ccc(=O)oc2c(c1OCC=C(CCC=C(CCC=C(C)C)C)C)OC,C26H34O5,426.55,31,10,0.42,11,5,0,127.84,57.9,4.89,7.04,6.61,3.8,7.07,5.88,-6.43,0.000158,3.69e-07,Poorly soluble,-8.07,3.61e-06,8.46e-09,Poorly soluble,-7.35,1.91e-05,4.49e-08,Poorly soluble,High,No,No,No,No,Yes,No,Yes,-3.9,0,1,1,1,1,0.55,0,2,3,4.5
Gamma-curcumene,CC(=CCCC(C1=CC=C(CC1)C)C)C,C15H24,204.35,15,0,0.6,4,0,0,70.68,0.0,3.7,6.22,5.04,4.53,4.48,4.79,-4.76,0.00354,1.73e-05,Moderately soluble,-6.01,0.000202,9.87e-07,Poorly soluble,-3.55,0.0573,0.000281,Soluble,Low,No,No,No,No,Yes,No,No,-3.13,1,0,0,0,2,0.55,0,1,2,4.52
